Square,x,y,EorF
a8,65,64,2
b8,132,64,0
c8,198,64,2
d8,265,64,0
e8,332,64,4
f8,398,64,2
g8,465,64,0
h8,532,64,2
a7,65,131,0
b7,132,131,2
c7,198,131,2
d7,265,131,0
e7,332,131,0
f7,398,131,2
g7,465,131,2
h7,532,131,2
a6,65,197,2
b6,132,197,0
c6,198,197,0
d6,265,197,0
e6,332,197,0
f6,398,197,2
g6,465,197,0
h6,532,197,0
a5,65,264,0
b5,132,264,0
c5,198,264,0
d5,265,264,2
e5,332,264,2
f5,398,264,0
g5,465,264,0
h5,532,264,0
a4,65,331,0
b4,132,331,0
c4,198,331,4
d4,265,331,2
e4,332,331,0
f4,398,331,0
g4,465,331,0
h4,532,331,4
a3,65,397,4
b3,132,397,4
c3,198,397,0
d3,265,397,2
e3,332,397,0
f3,398,397,0
g3,465,397,0
h3,532,397,0
a2,65,464,4
b2,132,464,4
c2,198,464,0
d2,265,464,4
e2,332,464,0
f2,398,464,4
g2,465,464,4
h2,532,464,2
a1,65,531,4
b1,132,531,0
c1,198,531,0
d1,265,531,4
e1,332,531,2
f1,398,531,0
g1,465,531,0
h1,532,531,4
