Square,Center X,Center Y
a8,531,494
b8,472,492
c8,412,491
d8,352,489
e8,293,488
f8,236,486
g8,181,481
h8,537,450
a7,474,448
b7,411,447
c7,349,444
d7,287,443
e7,227,442
f7,171,437
g7,542,401
h7,477,399
a6,411,398
b6,345,396
c6,281,394
d6,218,394
e6,160,390
f6,548,347
g6,480,345
h6,410,344
a5,342,342
b5,274,341
c5,209,340
d5,148,338
e5,554,288
f5,482,285
g5,410,284
h5,339,281
a4,267,282
b4,199,283
c4,136,281
d4,560,223
e4,485,220
f4,409,218
g4,335,219
h4,261,219
a3,190,220
b3,125,220
c3,564,154
d3,488,150
e3,409,148
f3,332,147
g3,254,149
h3,181,153
a2,114,155
